epoch,train_total,train_box,train_cls,train_dfl,train_kpt,val_total,val_box,val_cls,val_dfl,val_kpt,lr
143,9.85447,0.152,0.00238202,1.05227,7.13487,10.404,0.21715,0.00186752,1.30614,6.8152,0.000357992
144,10.1723,0.158066,0.00245948,1.10588,7.32678,10.1813,0.188093,0.00185952,1.17042,7.01407,0.000351729
145,9.87469,0.149282,0.00220777,1.06972,7.14939,10.8692,0.234361,0.00172685,1.43122,6.9638,0.000345492
146,10.0167,0.150311,0.00232632,1.04718,7.31742,10.7156,0.217332,0.00159754,1.32586,7.09599,0.00033928
147,9.69112,0.147818,0.0023046,1.06812,6.97916,11.1843,0.24014,0.00152998,1.49597,7.13855,0.000333097
148,9.84645,0.157766,0.00227603,1.09645,7.01738,10.2668,0.202053,0.00141003,1.23412,6.89956,0.000326941
149,9.83252,0.151596,0.00243949,1.06731,7.09338,9.94753,0.190804,0.0016063,1.17877,6.74753,0.000320816
150,9.95538,0.148495,0.00213548,1.07799,7.22361,10.0471,0.193441,0.00151305,1.184,6.81957,0.000314721
151,9.76989,0.147535,0.00213546,1.05598,7.07834,10.7676,0.217902,0.00143615,1.31095,7.16619,0.000308658
152,9.6766,0.146223,0.00230632,1.04188,7.01595,10.1996,0.198632,0.00151857,1.18997,6.92415,0.000302628
153,9.82869,0.151421,0.00207251,1.06419,7.09572,10.352,0.208254,0.00204972,1.24876,6.91592,0.000296632
154,9.66604,0.145059,0.00204911,1.05419,6.99579,10.2772,0.205719,0.00151499,1.22976,6.88893,0.00029067
155,10.154,0.155402,0.00224102,1.09181,7.34965,10.1244,0.192161,0.00138359,1.16649,6.93276,0.000284744
156,9.72431,0.149281,0.00197238,1.07076,6.99757,11.0375,0.236879,0.00170811,1.41084,7.14379,0.000278856
157,9.65533,0.151082,0.00221349,1.07028,6.91569,10.4794,0.215152,0.00149139,1.2879,6.93314,0.000273005
158,9.30934,0.137124,0.0019432,0.989088,6.7963,10.4338,0.222643,0.00155688,1.32018,6.78297,0.000267193
159,9.58382,0.152774,0.00216257,1.07878,6.81876,10.2385,0.213681,0.00136473,1.262,6.74218,0.000261421
160,9.12564,0.144067,0.00179079,1.01812,6.51707,10.1479,0.20239,0.0014679,1.21088,6.81294,0.000255689
161,9.41766,0.143326,0.00182422,1.03013,6.79661,10.8319,0.216883,0.0014442,1.27427,7.2931,0.00025
162,9.30519,0.146598,0.00193779,1.05606,6.62065,11.0571,0.231121,0.00154177,1.35866,7.28496,0.000244353
163,9.70765,0.152629,0.00214402,1.07774,6.94525,10.806,0.242685,0.0016966,1.44121,6.82325,0.000238751
164,9.61958,0.147423,0.00213694,1.02798,6.97088,10.3535,0.19116,0.00150328,1.16266,7.17511,0.000233193
165,9.16428,0.131745,0.00192611,0.991213,6.68841,10.3026,0.213424,0.00151908,1.26447,6.80449,0.00022768
166,9.3794,0.143557,0.00211492,1.03627,6.74727,11.0144,0.24115,0.00167957,1.42694,7.0645,0.000222215
